ID,class_ID,class_name,season_IMG,season_big_IMG,card_IMG
281,23HR,23 Heroes,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23hr.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23hr_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/23hr.png
261,22HR,22 Heroes,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22hr.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22hr_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/22hr.png
256,BTB,Back to Back,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/btb.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/btb_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/btb.png
252,CAP,Captain,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/cap.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/cap_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/cap.png
251,EBS,European Best Stars,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ebs.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ebs_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/ebs.png
253,BOE21,Best of Europe 21,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/boe21.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/boe21_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/boe21.png
249,NTG,Nostalgia,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ntg.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ntg_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/ntg.png
246,UP,Unsung Players,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/up.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/up_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/up.png
237,MC,Multi-League Champions,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/mc.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/mc_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/mc.png
231,VTR,Veteran,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/vtr.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/vtr_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/vtr.png
233,MOG,Moments Of Glory,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/mog.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/mog_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/mog.png
254,CFA,Chelsea FC Ambassador,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/cfa.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/cfa_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/cfa.png
