ID,season_ID,player_ID,name
110166149,110,166149,우고 산체스
110166691,110,166691,지쿠
110166906,110,166906,프랑코 바레시
110167135,110,167135,카를루스 아우베르투
110167198,110,167198,에릭 칸토나
110167680,110,167680,로날트 쿠만
110168473,110,168473,베켄바워
110173731,110,173731,가레스 베일
110176676,110,176676,마르셀루
110182521,110,182521,토니 크로스
110190042,110,190042,마라도나
110190043,110,190043,펠레
110190044,110,190044,보비 무어
110190045,110,190045,요한 크루이프
110190046,110,190046,소크라테스
110190048,110,190048,게르트 뮐러
110190053,110,190053,페터 슈마이켈
110191189,110,191189,로타어 마테우스
110191208,110,191208,차범근
110191695,110,191695,부트라게뇨
110192181,110,192181,마르코 반바스텐
110192190,110,192190,둥가
110214098,110,214098,프랑크 레이카르트
110214100,110,214100,루드 굴리트
110214101,110,214101,파울루 푸트리
110214267,110,214267,게리 리네커
110214649,110,214649,다보르 슈케르
110215732,110,215732,올리버 비어호프
110221162,110,221162,가브리엘 바티스투타
110222000,110,222000,미카엘 라우드루프
110222481,110,222481,로랑 블랑
110226764,110,226764,조지 베스트
110230025,110,230025,보비 찰턴
110238380,110,238380,레프 야신
110242519,110,242519,에우제비우
110247515,110,247515,존 반스
110247553,110,247553,가린샤
110247699,110,247699,케니 달글리시
110247703,110,247703,이언 러시
110248146,110,248146,이언 라이트
110254642,110,254642,페렌츠 푸스카스
110268513,110,268513,자이르지뉴
111001075,111,1075,델피에로
111001183,111,1183,파비오 칸나바로
111001625,111,1625,티에리 앙리
111005419,111,5419,마이클 오언
111005589,111,5589,루이스 피구
111007289,111,7289,리오 퍼디난드
111013038,111,13038,카를레스 푸욜
111013128,111,13128,안드리 셰우첸코
111020289,111,20289,야야 투레
111031432,111,31432,디디에 드로그바
111039943,111,39943,박지성
111051539,111,51539,에드윈 반데르사르
111138449,111,138449,카카
111140601,111,140601,네마냐 비디치
113000388,113,388,솔 캠벨
113001088,113,1088,알레산드로 네스타
113001179,113,1179,잔루이지 부폰
113001625,113,1625,티에리 앙리
113001668,113,1668,클로드 마켈렐레
113005479,113,5479,카시야스
113007289,113,7289,리오 퍼디난드
113013038,113,13038,카를레스 푸욜
113013743,113,13743,스티븐 제라드
113021146,113,21146,마이클 캐릭
113028130,113,28130,호나우지뉴
113031432,113,31432,디디에 드로그바
113034079,113,34079,애슐리 콜
113034666,113,34666,이영표
113039943,113,39943,박지성
113047390,113,47390,지우베르투
113054050,113,54050,웨인 루니
113121944,113,121944,B. 슈바인슈타이거
113135455,113,135455,마이콘
113138449,113,138449,카카
113140601,113,140601,네마냐 비디치
113156616,113,156616,프랑크 리베리
113173210,113,173210,C. 마르키시오
113173731,113,173731,가레스 베일
113183277,113,183277,에덴 아자르
113274967,113,274967,욘 아르네 리세
114007289,114,7289,리오 퍼디난드
114183277,114,183277,에덴 아자르
201000001,201,1,데이비드 시먼
201000041,201,41,이니에스타
201000051,201,51,앨런 시어러
201000195,201,195,로비 파울러
201000240,201,240,로이 킨
201000244,201,244,게리 네빌
201000246,201,246,폴 스콜스
201000388,201,388,솔 캠벨
201000393,201,393,테디 셰링엄
201000488,201,488,올리버 칸
201000570,201,570,제이-제이 오코차
201000805,201,805,옌스 레만
201000942,201,942,크리스티안 비에리
201001025,201,1025,후이 코스타
201001040,201,1040,호베르투 카를루스
201001041,201,1041,하비에르 사네티
201001075,201,1075,델피에로
201001088,201,1088,알레산드로 네스타
201001109,201,1109,파올로 말디니
201001116,201,1116,마르셀 드사이
201001179,201,1179,잔루이지 부폰
201001183,201,1183,파비오 칸나바로
201001198,201,1198,필리포 인자기
201001201,201,1201,잔프랑코 졸라
201001256,201,1256,클라렌스 세이도르프
201001419,201,1419,파트리크 비에이라
201001605,201,1605,로베르 피레스
201001620,201,1620,에마뉘엘 프티
201001625,201,1625,티에리 앙리
201003647,201,3647,미하엘 발락
201004000,201,4000,데니스 베르캄프
201004202,201,4202,젠나로 가투소
201004231,201,4231,히바우두
201004833,201,4833,H. 스토이치코프
201005003,201,5003,카푸
201005099,201,5099,잔루카 잠브로타
201005419,201,5419,마이클 오언
201005479,201,5479,카시야스
201005589,201,5589,루이스 피구
201005661,201,5661,페르난도 모리엔테스
201005680,201,5680,P. 클라위베르트
201005681,201,5681,M. 오베르마르스
201005740,201,5740,야프 스탐
201005984,201,5984,다비드 트레제게
201006235,201,6235,파벨 네드베드
201006975,201,6975,프레디 융베리
201007289,201,7289,리오 퍼디난드
201007512,201,7512,에르난 크레스포
201007518,201,7518,베론
201007743,201,7743,랜던 도노번
201007826,201,7826,로빈 반페르시
201009014,201,9014,아리언 로번
201009676,201,9676,사뮈엘 에토
201010264,201,10264,뤼트 반니스텔로이
201013038,201,13038,카를레스 푸욜
201013128,201,13128,안드리 셰우첸코
201013940,201,13940,얀 콜러
201020289,201,20289,야야 투레
201020801,201,20801,크리스티아누 호날두
201021146,201,21146,마이클 캐릭
201028130,201,28130,호나우지뉴
201037576,201,37576,호나우두
201041236,201,41236,즐라탄
201045186,201,45186,호아킨
201045661,201,45661,라울
201046747,201,46747,알렉시 랄라스
201048940,201,48940,페트르 체흐
201049369,201,49369,페르난도 토레스
201049370,201,49370,티아고 모타
201050294,201,50294,술레만 카마라
201051257,201,51257,피터 크라우치
201051539,201,51539,에드윈 반데르사르
201052241,201,52241,헨릭 라르손
201053302,201,53302,다니엘레 데로시
201053578,201,53578,나이젤 더용
201053612,201,53612,페어 메르테사커
201053769,201,53769,데쿠
201053914,201,53914,필 자기엘카
201054050,201,54050,웨인 루니
201108080,201,108080,S. 리히트슈타이너
201111503,201,111503,C. 벤 사다
201112244,201,112244,야로슬라프 플라실
201115533,201,115533,디에고 베날리오
201120533,201,120533,페페
201122849,201,122849,아루나 코네
201135451,201,135451,고메스
201136553,201,136553,이동국
201137186,201,137186,안드레아 바르찰리
201137262,201,137262,슈테판 키슬링
201137494,201,137494,오바페미 마틴스
201137785,201,137785,로베르트 후트
